,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2014-07-02,787993.00,724920.00,704505.00,693406.00,685071.00,689953.00,755560.00,846408.00,945389.00,1013947.00,1046822.00,1054728.00,1035548.00,1040738.00,1049574.00,1054975.00,1057848.00,1050518.00,1049926.00,1035796.00,1006834.00,1038898.00,1004163.00,907325.00
2014-07-03,824087.00,781406.00,756990.00,742022.00,728752.00,728179.00,784911.00,867795.00,953994.00,1024458.00,1048555.00,1064171.00,1082390.00,1095148.00,1105102.00,1106151.00,1109072.00,1087546.00,1078374.00,1072577.00,1058892.00,1087185.00,1057024.00,959063.00
2014-07-04,846568.00,783135.00,759538.00,743529.00,724067.00,732384.00,789809.00,869765.00,970861.00,1031962.00,1063250.00,1086187.00,1101498.00,1115011.00,1110210.00,1110361.00,1094755.00,1074949.00,1047107.00,1025512.00,1019758.00,1026866.00,964211.00,868863.00
2014-07-05,789739.00,743467.00,721474.00,707611.00,700143.00,693907.00,721921.00,775535.00,858340.00,941524.00,975944.00,997191.00,995436.00,1001956.00,1013451.00,1017399.00,1028178.00,1031525.00,1005730.00,992739.00,986318.00,1013546.00,994812.00,901293.00
2014-07-06,811051.00,760565.00,728938.00,711959.00,701651.00,704660.00,727158.00,757673.00,827118.00,912398.00,971378.00,1000949.00,1014107.00,1021054.00,1026260.00,1038984.00,1043181.00,1026825.00,1003628.00,993155.00,996675.00,1017421.00,964795.00,859312.00
2014-07-07,779019.00,739352.00,718508.00,701110.00,705229.00,714285.00,763274.00,843356.00,917887.00,978733.00,1013545.00,1017303.00,1020182.00,1063626.00,1065711.00,1074011.00,1062814.00,1046821.00,1040182.00,1023012.00,1025607.00,1039194.00,982095.00,887344.00
2014-07-08,805295.00,758846.00,728170.00,722183.00,717934.00,727753.00,767129.00,818187.00,895999.00,958064.00,985340.00,990072.00,983588.00,996900.00,995627.00,995638.00,993551.00,981129.00,971025.00,962391.00,979103.00,998368.00,975566.00,893021.00
2014-07-09,806400.00,755540.00,733627.00,711652.00,709476.00,722193.00,777331.00,848543.00,933354.00,1005729.00,1053317.00,1052401.00,1036169.00,1033267.00,1040409.00,1016660.00,1014044.00,1014116.00,994149.00,972538.00,955886.00,989425.00,947359.00,862221.00
2014-07-10,782291.00,726442.00,699551.00,682002.00,673206.00,679330.00,730624.00,814783.00,897867.00,966118.00,995114.00,1000769.00,998717.00,1005876.00,1005222.00,1004561.00,1007177.00,1006477.00,989361.00,965969.00,955791.00,999402.00,967830.00,883629.00
2014-07-11,789111.00,726190.00,706064.00,695426.00,675343.00,687221.00,745525.00,810156.00,913910.00,993371.00,1021275.00,1029891.00,1062692.00,1068770.00,1065331.00,1087122.00,1061790.00,1027584.00,1010294.00,992940.00,960126.00,1003946.00,979077.00,890279.00
2014-07-12,810213.00,754773.00,729125.00,712790.00,694127.00,692548.00,710646.00,772939.00,848988.00,931286.00,973833.00,997136.00,971995.00,982069.00,979075.00,972356.00,983218.00,983272.00,976882.00,956907.00,933938.00,950458.00,918259.00,842815.00
2014-07-13,776884.00,730113.00,694574.00,672346.00,661122.00,658237.00,683368.00,719558.00,781597.00,844780.00,880004.00,899530.00,893039.00,885743.00,887263.00,878463.00,895111.00,905401.00,901004.00,902792.00,898428.00,944799.00,924292.00,839533.00
2014-07-14,761303.00,708338.00,675649.00,657970.00,650537.00,663662.00,725936.00,793085.00,895833.00,958346.00,996597.00,1015860.00,1008373.00,1018855.00,1035068.00,1035007.00,1009251.00,1007700.00,1005325.00,989829.00,968886.00,986946.00,947052.00,830972.00
2014-07-15,755132.00,717615.00,685307.00,677471.00,645451.00,649358.00,710258.00,793873.00,897801.00,977965.00,1006368.00,1017406.00,1014030.00,1026273.00,997326.00,1007111.00,1018257.00,1010564.00,1006976.00,991692.00,971950.00,989896.00,943168.00,836690.00
2014-07-16,745360.00,688549.00,667362.00,667376.00,661524.00,654716.00,716348.00,810195.00,915438.00,999071.00,1007080.00,1015079.00,995275.00,1002677.00,1026527.00,1040342.00,1047911.00,1053980.00,1076125.00,1067494.00,1046229.00,1067869.00,1025850.00,917880.00
2014-07-17,820986.00,759442.00,725830.00,713769.00,700555.00,705084.00,773712.00,855518.00,950861.00,1031351.00,1067890.00,1101270.00,1119464.00,1132071.00,1140210.00,1141037.00,1134859.00,1117551.00,1114950.00,1099260.00,1066176.00,1091217.00,1057176.00,931049.00
2014-07-18,849674.00,793351.00,765540.00,751262.00,739554.00,743079.00,790185.00,852910.00,965721.00,1047797.00,1087989.00,1114295.00,1119794.00,1157572.00,1155949.00,1144368.00,1131795.00,1117271.00,1103266.00,1080016.00,1051226.00,1052825.00,989811.00,891576.00
2014-07-19,815347.00,768260.00,746784.00,737115.00,728667.00,725048.00,740514.00,785735.00,854754.00,916415.00,951497.00,959151.00,946696.00,952279.00,945168.00,944912.00,965880.00,972768.00,963331.00,949126.00,917342.00,942395.00,926782.00,848486.00
2014-07-20,777198.00,732632.00,706327.00,688212.00,676089.00,667890.00,692132.00,731830.00,810830.00,885942.00,922970.00,935803.00,930116.00,929229.00,934681.00,929304.00,929401.00,940106.00,944888.00,938733.00,928379.00,972917.00,945713.00,837708.00
2014-07-21,740862.00,693953.00,665770.00,650118.00,651509.00,673524.00,724185.00,795870.00,906022.00,966857.00,987584.00,995655.00,988901.00,1007547.00,1008228.00,1015156.00,1013169.00,997619.00,989812.00,978050.00,968639.00,996686.00,960425.00,867597.00
2014-07-22,786675.00,734758.00,691860.00,684508.00,684190.00,682149.00,733691.00,806995.00,893824.00,968555.00,998229.00,989918.00,968255.00,966208.00,966850.00,954922.00,972784.00,972411.00,963128.00,948262.00,940871.00,960794.00,902585.00,807959.00
2014-07-23,739108.00,699459.00,685007.00,673632.00,673348.00,681283.00,737248.00,817800.00,909320.00,969086.00,945612.00,906546.00,900364.00,917805.00,925949.00,927298.00,942430.00,943014.00,933938.00,891989.00,893329.00,947031.00,904386.00,797484.00
2014-07-24,728799.00,683900.00,662274.00,658209.00,659571.00,669108.00,708561.00,789354.00,880922.00,969202.00,996607.00,993316.00,988204.00,991670.00,979494.00,967301.00,965521.00,959064.00,951028.00,940844.00,951086.00,977111.00,911872.00,821548.00
2014-07-25,747388.00,701781.00,681295.00,670790.00,686171.00,688949.00,736822.00,811095.00,889517.00,928275.00,961357.00,987827.00,988024.00,1005127.00,1007569.00,1010983.00,1005274.00,996721.00,983223.00,959390.00,940965.00,974665.00,938608.00,841470.00
2014-07-26,761412.00,713679.00,697071.00,687323.00,681123.00,671762.00,710000.00,774650.00,858545.00,936101.00,983592.00,996937.00,991883.00,986683.00,981051.00,985454.00,986386.00,994038.00,975001.00,967784.00,946258.00,975602.00,936930.00,843597.00
2014-07-27,782750.00,724504.00,718533.00,708543.00,700062.00,684213.00,702253.00,750021.00,821376.00,890932.00,922383.00,925435.00,921012.00,914532.00,916569.00,918081.00,921119.00,922798.00,919187.00,914066.00,898848.00,940979.00,897310.00,803121.00
2014-07-28,730015.00,679637.00,652222.00,645928.00,644597.00,650445.00,714368.00,798599.00,890025.00,960762.00,975293.00,974786.00,976976.00,977500.00,974115.00,972227.00,970474.00,952146.00,955720.00,943070.00,937130.00,983315.00,929925.00,827900.00
2014-07-29,736441.00,676321.00,646491.00,645891.00,643634.00,650364.00,705503.00,779536.00,878471.00,965657.00,1013530.00,1018601.00,1014548.00,1021550.00,1024416.00,1036605.00,1026759.00,1013841.00,1013962.00,986872.00,970753.00,1000527.00,943572.00,835635.00
2014-07-30,757398.00,709429.00,684565.00,667407.00,656388.00,657064.00,704792.00,789792.00,881722.00,956444.00,1000739.00,1011731.00,1011535.00,1024700.00,1031720.00,1034183.00,1063190.00,1066779.00,1057336.00,1023331.00,998413.00,1030016.00,970874.00,857419.00
2014-07-31,776015.00,731171.00,709632.00,697479.00,691864.00,704219.00,752869.00,835278.00,942867.00,1020547.00,1046424.00,1066591.00,1076013.00,1087957.00,1062180.00,1068404.00,1074448.00,1058666.00,1054852.00,1037865.00,1018552.00,1056518.00,996021.00,885887.00
2014-08-01,841372.00,785403.00,753198.00,735107.00,733630.00,733599.00,766753.00,865303.00,979472.00,1048027.00,1108358.00,1131425.00,1147236.00,1169804.00,1174707.00,1175503.00,1145128.00,1111388.00,1103517.00,1072229.00,1052867.00,1092357.00,1027924.00,931613.00
2014-08-02,844896.00,766634.00,739774.00,715967.00,682694.00,679640.00,682951.00,742093.00,832976.00,927953.00,1008411.00,1040421.00,1033168.00,1019058.00,1027392.00,1034357.00,1029945.00,1050284.00,1064408.00,1043723.00,1022443.00,1069854.00,1009183.00,901897.00
2014-08-03,822162.00,770486.00,733166.00,711552.00,700946.00,683750.00,681872.00,726165.00,845759.00,947488.00,984241.00,996900.00,983869.00,976800.00,1005515.00,1008807.00,1017310.00,1038208.00,1042812.00,1038769.00,1039393.00,1092996.00,1028039.00,929953.00
2014-08-04,838566.00,774216.00,748076.00,735456.00,733748.00,728162.00,768730.00,848630.00,977550.00,1028764.00,1071068.00,1083997.00,1102191.00,1121424.00,1163831.00,1161474.00,1141291.00,1122884.00,1088470.00,1059744.00,1074773.00,1072421.00,995009.00,895031.00
2014-08-05,817637.00,759613.00,731406.00,723397.00,703956.00,702598.00,748401.00,827544.00,926335.00,1002883.00,1034077.00,1036147.00,1041977.00,1077169.00,1105936.00,1102926.00,1109318.00,1107735.00,1106298.00,1089556.00,1078407.00,1077652.00,1013204.00,894828.00
2014-08-06,804827.00,751759.00,724370.00,709224.00,699993.00,717499.00,757258.00,862078.00,964794.00,1021387.00,1062445.00,1071023.00,1081902.00,1090684.00,1096806.00,1097896.00,1097196.00,1091565.00,1075758.00,1042666.00,1046956.00,1067776.00,1011918.00,911352.00
2014-08-07,827051.00,779117.00,750441.00,747678.00,753253.00,756793.00,782823.00,860175.00,942177.00,1004920.00,1028323.00,1018711.00,1006651.00,1032441.00,1055849.00,1063042.00,1049133.00,1034810.00,1006136.00,1010540.00,1018358.00,1043166.00,973743.00,892229.00
2014-08-08,798941.00,750358.00,725330.00,721767.00,721898.00,728921.00,768330.00,841576.00,931745.00,1005437.00,1088695.00,1120476.00,1133123.00,1158158.00,1162412.00,1158652.00,1159308.00,1153492.00,1150083.00,1124895.00,1118200.00,1160776.00,1093971.00,985121.00
2014-08-09,882260.00,785857.00,750558.00,744255.00,738497.00,721382.00,733341.00,791507.00,897973.00,984431.00,1048428.00,1105960.00,1100372.00,1105950.00,1111975.00,1112517.00,1119955.00,1124340.00,1116594.00,1094404.00,1085361.00,1121192.00,1057566.00,967052.00
2014-08-10,875867.00,779553.00,755316.00,741459.00,731025.00,719962.00,725494.00,769403.00,863701.00,949949.00,997449.00,1022622.00,1034015.00,1043963.00,1048073.00,1048404.00,1084805.00,1092658.00,1100205.00,1089361.00,1099116.00,1142643.00,1068939.00,962041.00
2014-08-11,850021.00,786882.00,756188.00,746438.00,742871.00,746509.00,777611.00,869436.00,981136.00,1116910.00,1163234.00,1187556.00,1196854.00,1210486.00,1210346.00,1206743.00,1198374.00,1177238.00,1162135.00,1147597.00,1158007.00,1188748.00,1102868.00,998973.00
2014-08-12,883618.00,804644.00,770489.00,762392.00,765508.00,769824.00,813842.00,897557.00,1006420.00,1113232.00,1192926.00,1224736.00,1236557.00,1259262.00,1257591.00,1228014.00,1178109.00,1141146.00,1120312.00,1087865.00,1075756.00,1074882.00,989590.00,899730.00
2014-08-13,813514.00,757770.00,727538.00,716697.00,711716.00,720634.00,761088.00,847083.00,965378.00,1085929.00,1156066.00,1182376.00,1186605.00,1200739.00,1203636.00,1204189.00,1207270.00,1193089.00,1183502.00,1152401.00,1154514.00,1196340.00,1113014.00,993617.00
2014-08-14,899660.00,842715.00,790282.00,767852.00,760496.00,756379.00,799245.00,903611.00,1021764.00,1138938.00,1199326.00,1227242.00,1240877.00,1263084.00,1271348.00,1272133.00,1252928.00,1235683.00,1238409.00,1217107.00,1219233.00,1255452.00,1151239.00,1030671.00
2014-08-15,941599.00,871002.00,805956.00,782179.00,771043.00,778082.00,809199.00,900636.00,1029494.00,1127530.00,1204965.00,1254812.00,1270297.00,1292239.00,1297620.00,1277490.00,1280996.00,1276331.00,1264880.00,1230103.00,1220614.00,1254108.00,1181541.00,1071413.00
2014-08-16,966752.00,899708.00,861150.00,813976.00,797293.00,789338.00,792465.00,855934.00,951491.00,1051037.00,1113701.00,1151161.00,1144748.00,1148623.00,1159262.00,1166231.00,1180269.00,1185124.00,1165880.00,1137890.00,1142216.00,1161403.00,1081958.00,989100.00
2014-08-17,905017.00,835758.00,817501.00,799034.00,782384.00,774945.00,771961.00,806478.00,897058.00,989707.00,1048928.00,1082073.00,1088383.00,1100816.00,1094776.00,1091902.00,1090571.00,1083918.00,1069220.00,1053268.00,1073098.00,1096158.00,1022883.00,923314.00
2014-08-18,846285.00,792223.00,761064.00,737183.00,739747.00,755609.00,784659.00,842588.00,915764.00,990658.00,997887.00,1013785.00,1035345.00,1063407.00,1083030.00,1105777.00,1082547.00,1067815.00,1002560.00,1000122.00,1033852.00,1051174.00,974222.00,882976.00
2014-08-19,796048.00,726673.00,705745.00,686467.00,680140.00,681013.00,701510.00,764418.00,854608.00,925549.00,943955.00,962991.00,978063.00,998943.00,1004615.00,1013155.00,1001100.00,980815.00,979655.00,966019.00,990744.00,1006133.00,924848.00,829058.00
2014-08-20,745041.00,692902.00,676144.00,661364.00,660379.00,663341.00,690872.00,760557.00,840699.00,891669.00,916404.00,917447.00,912431.00,927534.00,941572.00,960076.00,966193.00,953731.00,942036.00,919549.00,949507.00,976152.00,896873.00,811446.00
2014-08-21,736967.00,685809.00,666945.00,644433.00,637403.00,648924.00,687238.00,760831.00,854324.00,919418.00,951097.00,959377.00,963553.00,958417.00,961429.00,958860.00,973301.00,979817.00,953460.00,940431.00,988243.00,1002849.00,914322.00,825081.00
2014-08-22,747958.00,693242.00,664927.00,657675.00,651743.00,659919.00,691744.00,757149.00,861671.00,930351.00,940072.00,943889.00,941932.00,963132.00,970524.00,965608.00,957785.00,973919.00,975369.00,949213.00,976453.00,984167.00,906769.00,822716.00
2014-08-23,745197.00,691053.00,661157.00,646243.00,644755.00,648581.00,652760.00,697146.00,777366.00,854765.00,908616.00,932581.00,944410.00,958093.00,1000857.00,1042255.00,1053411.00,1054536.00,1049909.00,1025172.00,1042490.00,1031661.00,956740.00,878462.00
2014-08-24,800465.00,741329.00,711517.00,693518.00,684384.00,688955.00,695650.00,728789.00,795341.00,870229.00,927755.00,959589.00,961681.00,962070.00,966025.00,980592.00,992142.00,995442.00,983629.00,978622.00,1019225.00,1023687.00,946313.00,860666.00
2014-08-25,790750.00,733050.00,703949.00,693408.00,687718.00,699281.00,738413.00,809062.00,909451.00,979197.00,1003564.00,1030733.00,1041523.00,1033360.00,1049862.00,1058333.00,1038973.00,1013360.00,991157.00,956494.00,1001698.00,1002082.00,929198.00,837505.00
2014-08-26,755471.00,703869.00,685016.00,684529.00,653996.00,672080.00,696789.00,768657.00,869136.00,928535.00,971077.00,990507.00,998133.00,1007632.00,997686.00,975658.00,973808.00,954722.00,933309.00,906992.00,956679.00,944277.00,875420.00,784071.00
2014-08-27,709281.00,660156.00,635051.00,641769.00,635409.00,650722.00,682746.00,774738.00,859509.00,908075.00,917694.00,912108.00,901271.00,907868.00,910339.00,910674.00,907765.00,907576.00,912513.00,913486.00,954990.00,950600.00,869788.00,789701.00
2014-08-28,733697.00,695888.00,671570.00,652143.00,659415.00,683804.00,708870.00,761046.00,857656.00,894659.00,893570.00,932242.00,937280.00,964275.00,988345.00,986404.00,1010443.00,1006805.00,977752.00,975860.00,1024367.00,989432.00,901806.00,803068.00
2014-08-29,742968.00,688858.00,659065.00,655499.00,653790.00,669939.00,709863.00,764311.00,836325.00,874039.00,899706.00,888068.00,889516.00,892342.00,920821.00,925574.00,917650.00,900186.00,892435.00,893934.00,959254.00,937084.00,865011.00,787189.00
2014-08-30,707928.00,671630.00,649605.00,629989.00,629321.00,638508.00,648511.00,690039.00,771561.00,849590.00,876040.00,877306.00,872613.00,878934.00,875394.00,864575.00,856099.00,866937.00,851893.00,847929.00,895241.00,875278.00,814182.00,739517.00
2014-08-31,671716.00,632669.00,598191.00,590262.00,593383.00,601204.00,611268.00,649087.00,725323.00,797242.00,844707.00,851939.00,842313.00,836947.00,834447.00,831257.00,825323.00,829316.00,831254.00,844034.00,927752.00,915147.00,839422.00,744233.00
2014-09-01,660704.00,619439.00,601407.00,602038.00,606063.00,630826.00,684383.00,781795.00,848117.00,882478.00,905987.00,903756.00,901497.00,899458.00,892135.00,897227.00,902397.00,881282.00,852889.00,851968.00,925129.00,893820.00,810561.00,718589.00
2014-09-02,664338.00,626919.00,608787.00,599479.00,599558.00,626629.00,673282.00,755299.00,829655.00,878881.00,894185.00,887576.00,885093.00,887040.00,888283.00,893352.00,880734.00,864188.00,854104.00,864047.00,935961.00,908526.00,819184.00,725512.00
2014-09-03,661304.00,619092.00,600049.00,588291.00,594383.00,636335.00,688509.00,760666.00,815394.00,881969.00,902533.00,904278.00,895337.00,899986.00,891269.00,915586.00,926324.00,945774.00,912399.00,902170.00,969979.00,928827.00,853887.00,746818.00
2014-09-04,663156.00,630386.00,611430.00,607637.00,617529.00,637671.00,696971.00,789905.00,844708.00,904470.00,906511.00,907415.00,906188.00,919067.00,906099.00,915754.00,915296.00,911236.00,892492.00,915187.00,980325.00,926015.00,837805.00,750540.00
2014-09-05,668803.00,626989.00,602963.00,605591.00,605250.00,634061.00,702508.00,775925.00,835387.00,899723.00,912397.00,903196.00,901863.00,895758.00,881012.00,889998.00,891901.00,879080.00,879656.00,907489.00,973645.00,923618.00,853664.00,762517.00
2014-09-06,700633.00,652442.00,616647.00,603671.00,609387.00,629316.00,649817.00,698629.00,782617.00,834635.00,865238.00,887801.00,872114.00,871827.00,864929.00,866664.00,877531.00,876938.00,859507.00,869244.00,953366.00,911834.00,853179.00,764199.00
2014-09-07,684528.00,656491.00,635357.00,606370.00,600052.00,612593.00,613671.00,657759.00,743980.00,809688.00,850568.00,858759.00,857780.00,854072.00,861651.00,862323.00,863087.00,854639.00,844532.00,877891.00,946430.00,913137.00,850577.00,738541.00
2014-09-08,655995.00,620067.00,620961.00,591891.00,602032.00,644904.00,695222.00,775164.00,836418.00,907821.00,954590.00,938784.00,961830.00,931683.00,922410.00,918958.00,912218.00,915122.00,918567.00,971523.00,1004679.00,921705.00,851959.00,759007.00
2014-09-09,675361.00,632722.00,610744.00,605432.00,636042.00,679254.00,756446.00,851786.00,904097.00,930725.00,936528.00,929176.00,914112.00,896976.00,865098.00,862870.00,881694.00,883129.00,895372.00,947089.00,975812.00,905816.00,843496.00,739225.00
2014-09-10,659375.00,636129.00,616076.00,619002.00,618866.00,640802.00,727305.00,808361.00,855618.00,886130.00,912451.00,910477.00,891019.00,851985.00,829326.00,845406.00,868885.00,876525.00,864982.00,909751.00,958879.00,914755.00,850102.00,769351.00
2014-09-11,677120.00,638779.00,613112.00,603451.00,610383.00,647888.00,713176.00,784747.00,829856.00,875720.00,896520.00,890013.00,870749.00,879113.00,872975.00,862408.00,880516.00,884029.00,885389.00,923758.00,968313.00,943862.00,847572.00,740182.00
2014-09-12,634430.00,608385.00,587657.00,583779.00,595718.00,633904.00,695838.00,763964.00,823599.00,855824.00,872819.00,862468.00,855739.00,857620.00,838976.00,847434.00,836742.00,839027.00,856307.00,917865.00,936399.00,876597.00,801924.00,719283.00
2014-09-13,658594.00,614741.00,601186.00,584489.00,595356.00,609796.00,630938.00,688999.00,746173.00,798952.00,822344.00,821667.00,810880.00,800146.00,792387.00,796961.00,798338.00,794515.00,799922.00,866793.00,906475.00,881742.00,806355.00,733382.00
2014-09-14,667552.00,629622.00,605014.00,595527.00,598273.00,609557.00,606971.00,639033.00,698699.00,740244.00,772888.00,777158.00,777756.00,776366.00,768899.00,766553.00,766510.00,769049.00,770983.00,832316.00,921242.00,886366.00,792373.00,691882.00
2014-09-15,637752.00,598506.00,589118.00,576593.00,583847.00,622945.00,679594.00,750029.00,796277.00,839494.00,861879.00,851753.00,840207.00,838004.00,827681.00,837555.00,831932.00,824036.00,819496.00,883264.00,908742.00,859551.00,762391.00,686332.00
2014-09-16,624564.00,593057.00,575075.00,543710.00,542490.00,581529.00,646797.00,708970.00,756935.00,795339.00,819002.00,842045.00,829770.00,834164.00,823408.00,825858.00,823644.00,802015.00,809942.00,872442.00,905148.00,863852.00,783863.00,703013.00
2014-09-17,639710.00,594806.00,579209.00,572629.00,573914.00,598831.00,662335.00,722621.00,774302.00,812704.00,818216.00,813948.00,797953.00,788327.00,791600.00,777879.00,759376.00,775732.00,798751.00,862212.00,919615.00,880770.00,790507.00,706220.00
2014-09-18,647485.00,601621.00,595432.00,585758.00,590778.00,627533.00,686529.00,746193.00,795128.00,826919.00,833263.00,803074.00,772963.00,778447.00,786724.00,783312.00,775234.00,765707.00,779939.00,858535.00,904254.00,894700.00,824496.00,733727.00
2014-09-19,641897.00,608520.00,601949.00,594848.00,603917.00,630359.00,706686.00,740355.00,805080.00,842102.00,840258.00,846521.00,823213.00,830113.00,847752.00,845829.00,833611.00,827996.00,849254.00,913411.00,965408.00,923090.00,845026.00,763243.00
2014-09-20,689688.00,638629.00,613161.00,594710.00,599078.00,612959.00,653997.00,683606.00,748315.00,808106.00,840761.00,834327.00,815434.00,807130.00,799210.00,794224.00,779700.00,791266.00,799174.00,858742.00,904582.00,879430.00,807205.00,729668.00
2014-09-21,652909.00,611570.00,588975.00,577341.00,573799.00,595507.00,611652.00,636203.00,698452.00,759398.00,782860.00,787532.00,791525.00,769598.00,755224.00,753086.00,759050.00,770540.00,807491.00,898196.00,930570.00,886118.00,795691.00,704850.00
2014-09-22,648989.00,612148.00,594844.00,586649.00,588320.00,631426.00,694279.00,764241.00,808658.00,841259.00,838352.00,828538.00,817617.00,817671.00,799406.00,773789.00,763754.00,754070.00,775445.00,890724.00,941447.00,900297.00,819219.00,717533.00
2014-09-23,656615.00,615484.00,588546.00,589567.00,592730.00,620450.00,690036.00,743393.00,789022.00,817004.00,830020.00,828259.00,816208.00,817796.00,809492.00,793074.00,762339.00,771912.00,791798.00,890064.00,918700.00,881129.00,800864.00,716875.00
2014-09-24,643898.00,606905.00,592673.00,586001.00,588987.00,616895.00,684803.00,746235.00,827144.00,917368.00,930877.00,913788.00,903786.00,917252.00,893552.00,872405.00,865542.00,877473.00,913948.00,989353.00,980797.00,931370.00,861647.00,780069.00
2014-09-25,700144.00,653173.00,632804.00,631106.00,639183.00,677239.00,749131.00,816042.00,876545.00,914940.00,923254.00,924963.00,919217.00,948971.00,944810.00,944261.00,955146.00,963271.00,976740.00,1048651.00,1046976.00,996982.00,934579.00,844327.00
2014-09-26,769710.00,735158.00,699040.00,693883.00,705123.00,744594.00,830503.00,892988.00,938619.00,963846.00,960618.00,940761.00,917836.00,914024.00,898796.00,895978.00,854037.00,852219.00,887195.00,1011641.00,1032008.00,963703.00,854607.00,765467.00
2014-09-27,693396.00,636044.00,619156.00,617134.00,615030.00,632274.00,655529.00,681098.00,729596.00,762742.00,780139.00,775768.00,748323.00,736301.00,743202.00,692452.00,740427.00,765721.00,771939.00,858297.00,874751.00,847115.00,794037.00,715979.00
2014-09-28,654436.00,608653.00,592412.00,584707.00,592043.00,614792.00,637173.00,636232.00,673498.00,730705.00,749230.00,762654.00,752053.00,755140.00,761763.00,774137.00,782327.00,802807.00,831916.00,898487.00,922874.00,878067.00,792312.00,712468.00
2014-09-29,653927.00,628698.00,609741.00,607459.00,616915.00,649516.00,736162.00,790655.00,837990.00,878095.00,883637.00,879133.00,864686.00,856931.00,846368.00,847426.00,839714.00,828610.00,849659.00,962082.00,978923.00,948063.00,856787.00,763442.00
2014-09-30,702132.00,660117.00,642904.00,636205.00,637476.00,675591.00,751575.00,814209.00,875484.00,916336.00,928851.00,908342.00,895629.00,911498.00,907563.00,905117.00,911232.00,904915.00,907486.00,994038.00,990281.00,957694.00,869688.00,776410.00
2014-10-01,652090.00,609671.00,588306.00,581159.00,581201.00,640184.00,710919.00,784170.00,822372.00,861995.00,871755.00,861754.00,837865.00,836479.00,843220.00,843075.00,845650.00,850240.00,901555.00,989936.00,1000993.00,953601.00,842796.00,735991.00
